GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JPA Annotation Processor (Annotation Processor),org.sw4j.tool.annotation.jpa.generator.model,Model,0,18,0,0,0,6,0,3,0,3
JPA Annotation Processor (Annotation Processor),org.sw4j.tool.annotation.jpa.generator.model,Entity,2,59,2,6,0,16,2,9,0,7
JPA Annotation Processor (Annotation Processor),org.sw4j.tool.annotation.jpa.generator.model,Table,3,24,0,0,1,9,1,4,1,4
JPA Annotation Processor (Annotation Processor),org.sw4j.tool.annotation.jpa.generator.model,Attribute,0,21,0,0,0,8,0,4,0,4
JPA Annotation Processor (Annotation Processor),org.sw4j.tool.annotation.jpa.processor,AnnotationProcessor,55,207,7,25,3,54,5,16,0,5
JPA Annotation Processor (Annotation Processor),org.sw4j.tool.annotation.jpa.processor,AttributeProcessor,41,342,8,42,2,72,7,29,0,11
JPA Annotation Processor (Annotation Processor),org.sw4j.tool.annotation.jpa.processor,EntityProcessor,17,146,2,14,1,36,2,10,0,4
